"Date","rGoog","rM_ex","rSmB","rHmL","rf"
2010-01-01,-0.14523053259161,-0.0336,0.004,0.0043,0
2010-02-01,-0.00592512637200937,0.034,0.0119,0.0322,0
2010-03-01,0.0765375795169396,0.0631,0.0148,0.0221,1e-04
2010-04-01,-0.0730357789118782,0.02,0.0487,0.0289,1e-04
2010-05-01,-0.076222148328459,-0.0789,9e-04,-0.0244,1e-04
2010-06-01,-0.0837674483084215,-0.0557,-0.0181,-0.047,1e-04
2010-07-01,0.0896730059640716,0.0693,0.0024,-0.003,1e-04
2010-08-01,-0.0718366818313353,-0.0477,-0.0295,-0.0196,1e-04
2010-09-01,0.168370377031328,0.0954,0.0396,-0.0317,1e-04
2010-10-01,0.167195907958855,0.0388,0.0121,-0.0249,1e-04
2010-11-01,-0.0944924061412425,0.006,0.0377,-0.0088,1e-04
2010-12-01,0.0688488624810608,0.0682,0.0067,0.0378,1e-04
2011-01-01,0.0107581393808123,0.0199,-0.0244,0.0077,1e-04
2011-02-01,0.021720345719547,0.0349,0.0147,0.0124,1e-04
2011-03-01,-0.0434300739548718,0.0046,0.0256,-0.0188,1e-04
2011-04-01,-0.0727044004878891,0.029,-0.0032,-0.0248,0
2011-05-01,-0.0277154842604153,-0.0127,-0.0065,-0.02,0
2011-06-01,-0.0427961021446512,-0.0175,-0.0014,-0.0038,0
2011-07-01,0.192167947258732,-0.0235,-0.0129,-0.0091,0
2011-08-01,-0.103910907392343,-0.0599,-0.0307,-0.024,1e-04
2011-09-01,-0.0479148787973854,-0.0759,-0.0333,-0.0176,0
2011-10-01,0.150667947466921,0.1135,0.033,0.0012,0
2011-11-01,0.0113897140262604,-0.0028,-0.0017,-0.0046,0
2011-12-01,0.0775955278394953,0.0074,-0.006,0.0161,0
2012-01-01,-0.101857856136247,0.0505,0.0206,-0.0094,0
2012-02-01,0.0657461207564005,0.0442,-0.0186,0.0043,0
2012-03-01,0.0371856451174331,0.0311,-0.0066,0.0112,0
2012-04-01,-0.0567493867977066,-0.0085,-0.0041,-0.0077,0
2012-05-01,-0.0396627850810408,-0.0619,9e-04,-0.0106,1e-04
2012-06-01,-0.00136004899250908,0.0389,0.0064,0.0059,0
2012-07-01,0.0911958834952948,0.0079,-0.0272,-0.0012,0
2012-08-01,0.08234194936491,0.0255,0.0048,0.013,1e-04
2012-09-01,0.10131517734478,0.0273,0.0054,0.0158,1e-04
2012-10-01,-0.0983432691240957,-0.0176,-0.0117,0.0356,1e-04
2012-11-01,0.0265617816082753,0.0078,0.0061,-0.0083,1e-04
2012-12-01,0.0129015078665886,0.0118,0.0152,0.0353,1e-04
2013-01-01,0.0682942402871314,0.0557,0.0031,0.0095,0
2013-02-01,0.0602231539534521,0.0129,-0.0033,0.001,0
2013-03-01,-0.00874937968872858,0.0403,0.0083,-0.0023,0
2013-04-01,0.0382527936098385,0.0155,-0.0236,0.005,0
2013-05-01,0.0565749823500163,0.028,0.0172,0.0267,0
2013-06-01,0.0105024585310287,-0.012,0.0132,5e-04,0
2013-07-01,0.00838288114525265,0.0565,0.0187,0.0057,0
2013-08-01,-0.0460151972106176,-0.0271,0.0026,-0.0268,0
2013-09-01,0.0342543414403793,0.0377,0.029,-0.0123,0
2013-10-01,0.176582045664786,0.0418,-0.0156,0.0126,0
2013-11-01,0.0281491393668731,0.0313,0.0129,0.0028,0
2013-12-01,0.0576827701790934,0.0281,-0.0046,-1e-04,0
2014-01-01,0.0537694281001624,-0.0332,0.0092,-0.0202,0
2014-02-01,0.0293657271022358,0.0465,0.0037,-0.0031,0
2014-03-01,-0.0827508820636291,0.0043,-0.0187,0.0492,0
2014-04-01,-0.0544194089767018,-0.0019,-0.042,0.0114,0
2014-05-01,0.0630957752100574,0.0206,-0.0189,-0.0013,0
2014-06-01,0.0274874989669693,0.0261,0.0309,-0.0069,0
2014-07-01,-0.00639688110034331,-0.0204,-0.0428,2e-04,0
2014-08-01,0,0.0424,0.0039,-0.0044,0
2014-09-01,0.0100769290869456,-0.0197,-0.0372,-0.0135,0
2014-10-01,-0.0316613048743905,0.0252,0.0422,-0.0183,0
2014-11-01,-0.0308542390573189,0.0255,-0.0205,-0.0309,0
2014-12-01,-0.0284775733449419,-6e-04,0.025,0.0227,0
2015-01-01,0.0154255532539567,-0.0311,-0.0054,-0.0361,0
2015-02-01,0.0446755159184162,0.0614,0.0061,-0.0187,0
2015-03-01,-0.0186246352373964,-0.0112,0.0307,-0.0041,0
2015-04-01,-0.0167603900396828,0.0059,-0.0304,0.0183,0
2015-05-01,-0.00973320753564466,0.0136,0.0092,-0.0113,0
2015-06-01,-0.0217999573903882,-0.0153,0.029,-0.0078,0
2015-07-01,0.201917298382024,0.0154,-0.042,-0.0407,0
2015-08-01,-0.0117644941360712,-0.0604,0.0036,0.028,0
2015-09-01,-0.0158997444399515,-0.0307,-0.0263,0.0058,0
2015-10-01,0.168288382796263,0.0775,-0.0186,-0.0045,0
2015-11-01,0.0447235943352615,0.0056,0.036,-0.0039,0
2015-12-01,0.0219230130974311,-0.0217,-0.0281,-0.0259,1e-04
2016-01-01,-0.020991451738144,-0.0577,-0.0339,0.0207,1e-04
2016-02-01,-0.0608116175654627,-8e-04,0.0081,-0.0058,2e-04
2016-03-01,0.0676153899532685,0.0696,0.0075,0.011,2e-04
2016-04-01,-0.0697228017495488,0.0092,0.0068,0.0319,1e-04
2016-05-01,0.06162964514755,0.0178,-0.0019,-0.0165,1e-04
2016-06-01,-0.0592888554332855,-5e-04,0.0058,-0.0145,2e-04
2016-07-01,0.110807693482712,0.0395,0.0251,-0.0129,2e-04
2016-08-01,-0.00226328392641983,0.005,0.0117,0.0311,2e-04
2016-09-01,0.0133498339876124,0.0025,0.0213,-0.0121,2e-04
2016-10-01,0.00932727837126435,-0.0202,-0.0441,0.0412,2e-04
2016-11-01,-0.0337777560648413,0.0486,0.0567,0.0821,1e-04
2016-12-01,0.0181784990237019,0.0182,9e-04,0.036,3e-04
2017-01-01,0.0323520649549578,0.0194,-0.0113,-0.0274,4e-04
2017-02-01,0.0331581027993302,0.0357,-0.0204,-0.0167,4e-04
2017-03-01,0.00771367674141366,0.0017,0.0113,-0.0333,3e-04
2017-04-01,0.0920970444382494,0.0109,0.0072,-0.0213,5e-04
2017-05-01,0.0650138654793755,0.0106,-0.0252,-0.0375,6e-04
2017-06-01,-0.0581742489818355,0.0078,0.0223,0.0149,6e-04
2017-07-01,0.0239565332707523,0.0187,-0.0146,-0.0022,7e-04
2017-08-01,0.00948954003224078,0.0016,-0.0165,-0.0207,9e-04
2017-09-01,0.0210575278571132,0.0251,0.0445,0.0309,9e-04
2017-10-01,0.0599827245047395,0.0225,-0.0193,0.0022,9e-04
2017-11-01,0.00469188496382378,0.0312,-0.0056,-5e-04,8e-04
2017-12-01,0.0244662296830735,0.0106,-0.0132,3e-04,9e-04
2018-01-01,0.118061844578092,0.0558,-0.0318,-0.0136,0.0011
2018-02-01,-0.0557378705647592,-0.0365,0.0026,-0.0103,0.0011
2018-03-01,-0.0660251304124109,-0.0235,0.0406,-0.0023,0.0012
2018-04-01,-0.0140145004830774,0.0029,0.011,0.0048,0.0014
2018-05-01,0.0665073986507567,0.0265,0.0531,-0.0313,0.0014
2018-06-01,0.0282583565586627,0.0048,0.0113,-0.0233,0.0014
2018-07-01,0.0910769361485713,0.0319,-0.0225,0.0045,0.0016
2018-08-01,0.000763954284508372,0.0344,0.0114,-0.0398,0.0016
2018-09-01,-0.0202923773772977,6e-04,-0.023,-0.017,0.0015
2018-10-01,-0.0977820589002486,-0.0768,-0.0482,0.0343,0.0019
