MONTH,OPEN,HIGH,LOW,LAST,CHANGE,SETTLE,EST. VOLUME,PRIOR DAY OI
21-Nov,5.641,5.789,5.4,5.422,-0.277,5.41,"188,906","102,494"
21-Dec,5.8,5.94,5.59,5.611,-0.237,5.6,"98,572","145,509"
22-Jan,5.899,6.038,5.7,5.716,-0.228,5.708,"60,238","227,451"
22-Feb,5.785,5.916,5.61,5.612A,-0.222,5.613,"23,729","68,945"
22-Mar,5.469,5.615,5.299,5.319,-0.21,5.317,"27,247","146,548"
22-Apr,4.117,4.188,4.065,4.109,-0.028,4.121,"16,927","116,310"
22-May,3.999,4.062,3.95,4,-0.015,4.008,"19,104","110,545"
22-Jun,4.03,4.095,3.984,4.036A,-0.011,4.046,"15,146","38,957"
JLY 22,4.07,4.125,4.024,4.077A,-0.01,4.087,"10,463","40,456"
22-Aug,4.119,4.125B,4.029,4.082A,-0.011,4.091,"4,713","29,893"
22-Sep,4.085,4.115,4.001,4.065A,-0.013,4.073,"4,956","33,486"
22-Oct,4.09,4.15,4.042,4.09,-0.014,4.104,"8,952","82,680"
22-Nov,4.195,4.231,4.132A,4.186B,-0.014,4.192,"3,247","33,759"
22-Dec,4.352,4.373,4.299,4.349A,-0.013,4.357,"1,502","25,729"
23-Jan,4.445,4.484B,4.396A,4.448,-0.014,4.45,"2,020","28,734"
23-Feb,4.35,4.390B,4.304A,4.358A,-0.009,4.358,570,"10,792"
23-Mar,4.047,4.078B,3.997A,4.051,0.001,4.056,653,"14,302"
23-Apr,3.327,3.352B,3.308A,3.338B,-0.003,3.338,678,"13,197"
23-May,3.242,3.259B,3.223A,3.250B,-0.003,3.248,504,"8,553"
23-Jun,3.287,3.305B,3.269A,3.298,-0.001,3.294,324,"7,052"
JLY 23,3.337,3.355B,3.320A,3.346B,-0.002,3.344,179,"4,687"
23-Aug,3.364,3.364,3.36,3.36,-0.004,3.358,393,"4,117"
23-Sep,3.358,3.358,3.349,3.354,-0.005,3.351,109,"4,291"
23-Oct,3.38,3.395,3.37,3.383,-0.005,3.389,143,"6,008"
23-Nov,3.5,3.502,3.485A,3.502,-0.004,3.496,105,"3,018"
23-Dec,3.695,3.695,3.695,3.695,-0.003,3.692,6,"3,939"
24-Jan,3.791,3.791,3.791,3.791,0.003,3.793,14,"1,370"
24-Feb,3.73,3.731B,3.726,3.731B,0.001,3.725,87,"1,202"
24-Mar,3.488,3.5,3.480A,3.49,-0.001,3.485,71,"4,233"
24-Apr,3.088,3.088,3.088,3.088,0.004,3.09,22,"3,431"
24-May,-,3.046B,-,3.046B,0.003,3.046,0,"1,557"
24-Jun,-,-,-,-,0.003,3.092,0,537
