Date,Open,High,Low,Close,Volume,Adjusted
2021-01-04,27087.130859,27502.830078,27079.240234,27472.810547,2870443300,27472.810547
2021-01-05,27281.339844,27690.210938,27150.380859,27649.859375,3282490100,27649.859375
2021-01-06,27613.339844,27756.429688,27389.779297,27692.300781,3079382600,27692.300781
2021-01-07,27715.939453,27752.359375,27457.470703,27548.519531,3775142800,27548.519531
2021-01-08,27630.029297,27920.769531,27538.199219,27878.220703,5667284000,27878.220703
2021-01-11,28003.980469,28176.650391,27794.810547,27908.220703,4366094600,27908.220703
2021-01-12,27894.289063,28276.75,27781.419922,28276.75,3399606200,28276.75
2021-01-13,28309.320313,28414.539063,28136.640625,28235.599609,3559366600,28235.599609
2021-01-14,28408.119141,28510.919922,28280.089844,28496.859375,3205592600,28496.859375
2021-01-15,28394.369141,28667.589844,28294.660156,28573.859375,4485371800,28573.859375
2021-01-18,28454.589844,28864.25,28390.289063,28862.769531,2956444000,28862.769531
2021-01-19,29100.169922,29848.429688,29100.169922,29642.279297,4568245300,29642.279297
2021-01-20,29794.410156,29993.470703,29676.539063,29962.470703,3937834200,29962.470703
2021-01-21,29951.779297,30135.5,29745.869141,29927.759766,3004888900,29927.759766
2021-01-22,29809.230469,29862.890625,29413.519531,29447.849609,3381738600,29447.849609
2021-01-25,29677.300781,30191.160156,29673.259766,30159.009766,3066515300,30159.009766
2021-01-26,29892.849609,29965.109375,29345.740234,29391.259766,4810723600,29391.259766
2021-01-27,29556.580078,29636.630859,29194.369141,29297.529297,3808971800,29297.529297
2021-01-28,28914.849609,29191.679688,28467.009766,28550.769531,2993470100,28550.769531
2021-01-29,28826.179688,28972.060547,28259.730469,28283.710938,3196757600,28283.710938
2021-02-01,28457.849609,28982.769531,28382.259766,28892.859375,2464276400,28892.859375
2021-02-02,29378.119141,29511,29198.859375,29248.699219,2739194600,29248.699219
2021-02-03,29305.410156,29312,28967.009766,29307.460938,2681355500,29307.460938
2021-02-04,29093.539063,29409,28775.380859,29113.5,3032246200,29113.5
2021-02-05,29305.089844,29495.640625,29184.089844,29288.679688,2675266500,29288.679688
2021-02-08,29629.080078,29706.080078,29293.640625,29319.470703,2196734100,29319.470703
2021-02-09,29442.5,29527.669922,29263.980469,29476.189453,1851043400,29476.189453
2021-02-10,29796.189453,30075.5,29732.230469,30038.720703,1998284900,30038.720703
2021-02-11,29995.279297,30184.169922,29828.619141,30173.570313,1192111200,30173.570313
2021-02-16,30675.820313,30793.480469,30497.400391,30746.660156,3269676200,30746.660156
2021-02-17,30636.369141,31168.300781,30503.460938,31084.939453,3144032900,31084.939453
2021-02-18,31183.359375,31183.359375,30570.550781,30595.269531,3687581000,30595.269531
2021-02-19,30483.460938,30720.150391,30099.710938,30644.730469,3317191700,30644.730469
2021-02-22,31071.609375,31071.609375,30298.580078,30319.830078,4449910100,30319.830078
2021-02-23,30189.970703,30948.470703,30126.400391,30632.640625,4605710300,30632.640625
2021-02-24,30702.650391,30792.880859,29532.679688,29718.240234,4846335300,29718.240234
2021-02-25,30174.220703,30453.119141,29833.050781,30074.169922,3663892300,30074.169922
2021-02-26,29412.130859,29579.669922,28980.210938,28980.210938,4126393200,28980.210938
2021-03-01,29457.890625,29550.75,29195.970703,29452.570313,2629062100,29452.570313
2021-03-02,29708.390625,29765.960938,28957.310547,29095.859375,2895849600,29095.859375
2021-03-03,29249.429688,29912,29183.589844,29880.419922,3228618000,29880.419922
2021-03-04,29525.480469,29597.160156,29102.099609,29236.789063,2957909000,29236.789063
2021-03-05,28667.140625,29397.269531,28513.130859,29098.289063,3996713300,29098.289063
2021-03-08,29362.589844,29386.330078,28422.269531,28540.830078,4906906100,28540.830078
2021-03-09,28665.259766,29047.130859,28326.130859,28773.230469,4377944400,28773.230469
2021-03-10,29255.369141,29255.369141,28710.910156,28907.519531,2842785200,28907.519531
2021-03-11,28909.980469,29412.419922,28893.210938,29385.609375,3604263600,29385.609375
2021-03-12,29550.369141,29550.369141,28707.349609,28739.720703,3557237800,28739.720703
2021-03-15,28923.949219,29178.990234,28612.740234,28833.759766,3096719600,28833.759766
2021-03-16,29036.820313,29118.619141,28872.400391,29027.689453,2351605600,29027.689453
2021-03-17,28992.240234,29180.009766,28780.230469,29034.119141,1901329200,29034.119141
2021-03-18,29317.609375,29596.580078,29317.609375,29405.720703,2113745200,29405.720703
2021-03-19,29158.480469,29271.400391,28737.539063,28990.939453,3814440800,28990.939453
2021-03-22,28801.089844,29139.070313,28801.089844,28885.339844,2065830600,28885.339844
2021-03-23,29008.019531,29043.179688,28376.220703,28497.380859,2049560300,28497.380859
2021-03-24,28437.490234,28457.869141,27827.050781,27918.140625,2689142400,27918.140625
2021-03-25,27628.080078,28032.009766,27505.080078,27899.609375,2595007600,27899.609375
2021-03-26,28043.650391,28415.150391,28014.289063,28336.429688,2415384100,28336.429688
2021-03-29,28317.320313,28484.660156,28132.359375,28338.300781,2847744100,28338.300781
2021-03-30,28552.769531,28694.150391,28371.230469,28577.5,2269839800,28577.5
2021-03-31,28802.529297,28802.529297,28332.779297,28378.349609,2703755400,28378.349609
2021-04-01,28594.550781,28938.740234,28511.650391,28938.740234,2232972100,28938.740234
2021-04-07,29101.400391,29101.400391,28598.859375,28674.800781,2223606300,28674.800781
2021-04-08,28604.119141,29054.820313,28587.109375,29008.070313,2522329300,29008.070313
2021-04-09,29152.439453,29152.439453,28604.550781,28698.800781,1897265800,28698.800781
2021-04-12,28791.970703,28791.970703,28274.269531,28453.279297,1992325200,28453.279297
2021-04-13,28557.839844,28877.150391,28452.119141,28497.25,2062117300,28497.25
2021-04-14,28796.550781,28979.349609,28685.060547,28900.830078,1941501600,28900.830078
2021-04-15,28872.820313,28884.570313,28530.990234,28793.140625,1901863000,28793.140625
2021-04-16,28827.169922,29079.179688,28711.109375,28969.710938,2192409800,28969.710938
2021-04-19,28960.130859,29319.759766,28806.759766,29106.150391,2020128300,29106.150391
2021-04-20,28962.800781,29220.189453,28885.550781,29135.730469,2014210500,29135.730469
2021-04-21,28702.269531,28778.359375,28506.759766,28621.919922,2202031500,28621.919922
2021-04-22,28716.980469,28848.019531,28597,28755.339844,1934891300,28755.339844
2021-04-23,28798.449219,29078.75,28748.570313,29078.75,1901002000,29078.75
2021-04-26,29106.449219,29238.990234,28908.650391,28952.830078,1786353600,28952.830078
2021-04-27,28895.380859,29045.109375,28793.220703,28941.539063,1834872800,28941.539063
2021-04-28,28991.939453,29071.339844,28887.330078,29071.339844,2074074300,29071.339844
2021-04-29,29268.210938,29405.119141,29162.869141,29303.259766,1838135800,29303.259766
2021-04-30,29143.429688,29154.75,28701.689453,28724.880859,2577584300,28724.880859
2021-05-03,28659.910156,28684.830078,28256.029297,28357.539063,1725985500,28357.539063
2021-05-04,28438.150391,28577.519531,28321.339844,28557.140625,1921124800,28557.140625
2021-05-05,28427.669922,28677.359375,28325.960938,28417.980469,1720837700,28417.980469
2021-05-06,28647.970703,28753.970703,28384.119141,28637.460938,2478819000,28637.460938
2021-05-07,28721.130859,28884.029297,28530.710938,28610.650391,2205337100,28610.650391
2021-05-10,28776.990234,28842.109375,28453.140625,28595.660156,2358822100,28595.660156
2021-05-11,28286.560547,28286.560547,27910.710938,28013.810547,2383355200,28013.810547
2021-05-12,28073.919922,28231.039063,27897.470703,28231.039063,2132315300,28231.039063
2021-05-13,27920.009766,28060.929688,27718.669922,27718.669922,2167381500,27718.669922
2021-05-14,27872.689453,28064.009766,27715.880859,28027.570313,1880805200,28027.570313
2021-05-17,28130.509766,28268.390625,28074.140625,28194.089844,1857027900,28194.089844
2021-05-18,28438.029297,28617.339844,28438.029297,28593.810547,2065990000,28593.810547
2021-05-20,28413.490234,28508.240234,28293.230469,28450.289063,2465835400,28450.289063
2021-05-21,28584.339844,28584.339844,28286.919922,28458.439453,1653241900,28458.439453
2021-05-24,28417.990234,28444.359375,28195.519531,28412.259766,1719640600,28412.259766
2021-05-25,28461.5,28929.240234,28461.5,28910.859375,2352077900,28910.859375
2021-05-26,29056.279297,29261.859375,29027.949219,29166.009766,2518538400,29166.009766
2021-05-27,28998.390625,29157.949219,28950.720703,29113.199219,3804955000,29113.199219
2021-05-28,29219.460938,29336.130859,29033.720703,29124.410156,2591559500,29124.410156
2021-05-31,29225.460938,29225.460938,28909.519531,29151.800781,2188580800,29151.800781
2021-06-01,29159.060547,29480.160156,29036.449219,29468,1832036700,29468
2021-06-02,29414.640625,29490.609375,29208.730469,29297.619141,1933160400,29297.619141
2021-06-03,29365.320313,29377.900391,28902.669922,28966.029297,2241752500,28966.029297
2021-06-04,28837.949219,29023.179688,28737.970703,28918.099609,3054579800,28918.099609
2021-06-07,28985.599609,29003.990234,28615.609375,28787.279297,2573174300,28787.279297
2021-06-08,28900.519531,28979.199219,28638.310547,28781.380859,1626863000,28781.380859
2021-06-09,28771.140625,28859.580078,28687.689453,28742.630859,1807028800,28742.630859
2021-06-10,28792.019531,28954.400391,28664.939453,28738.880859,1940104600,28738.880859
2021-06-11,28864.900391,28965.150391,28743.820313,28842.130859,2038619100,28842.130859
2021-06-15,28946.439453,28946.439453,28453.480469,28638.529297,2376459800,28638.529297
2021-06-16,28609.369141,28648.640625,28403.640625,28436.839844,2053818800,28436.839844
2021-06-17,28240.880859,28558.589844,28216.089844,28558.589844,1888022000,28558.589844
2021-06-18,28586.039063,28830.849609,28532.080078,28801.269531,3761375200,28801.269531
2021-06-21,28501.640625,28590.220703,28314.929688,28489,2182673000,28489
2021-06-22,28575.160156,28579,28299.660156,28309.759766,1980080400,28309.759766
2021-06-23,28468.240234,28893.789063,28406.609375,28817.070313,2293387200,28817.070313
2021-06-24,28865.460938,28993.369141,28782.339844,28882.460938,1723216500,28882.460938
2021-06-25,29002.669922,29305.169922,28971.599609,29288.220703,2149434300,29288.220703
2021-06-28,29366.490234,29394.689453,29209.429688,29268.300781,1512611100,29268.300781
